wave	old_repo_path	old_concept	target_repo	target_root	action	future_repo	status	notes
NEW.6	src/agents/grounding	agent grounding memory/retrieval/query strategy placeholders	ai-environment	memory-experiments	externalize	ai-environment	complete	Keep outside core; future environment harness can test strategies against yai-core projections. old_symbol_or_file=memory_strategy.c; retrieval_strategy.c; query_strategy.c; future_primitive=agent memory and retrieval experiments; compat_required=no
NEW.7	src/orchestrator/recovery	recovery and reconcile scenario material	yai-core + ai-environment	reconcile; ai-environment	mine_concept	ai-environment	complete	Extract review/recovery posture only; do not recreate orchestrator workflow engine. old_symbol_or_file=compensate.c; control_recovery_planner.c; flow_recovery.c; reconcile.c; resume.c; retry.c; future_primitive=divergence posture; future recovery scenarios; compat_required=yes
NEW.7	src/runtime/execution	operator recovery hints and recovery commands	yai-core + console	reconcile; console	mine_concept	console	complete	Core keeps divergence/reconcile records; operator hints belong to console later. old_symbol_or_file=recovery_hint.c; future_primitive=reconcile review hints; operator UX evidence; compat_required=yes
NEW.7	src/runtime/execution	enforcement recovery shim	yai-core	reconcile; effect	mine_concept	none	complete	No automatic repair or compensation execution in NEW.7. old_symbol_or_file=runtime_enforcement_recovery.c; future_primitive=reconcile posture around enforcement residue; compat_required=yes
NEW.7	src/substrate/signals	contradiction, missingness, signal taxonomy	yai-core	reconcile; memory	mine_concept	none	complete	Signals inform divergence but do not own truth or execute recovery. old_symbol_or_file=substrate_contradiction_signal_drain.c; substrate_missingness_signal_drain.c; substrate_signal_*; future_primitive=divergence detection; signal-informed posture; compat_required=yes
NEW.7	src/decision/conflict	conflict posture and trace requirements	yai-core	control; reconcile	mine_concept	none	complete	Conflict posture maps to explicit divergence records, not a resolver engine. old_symbol_or_file=README.md; resolution/conflicts.c; future_primitive=divergence kind; reconciliation posture; compat_required=yes
NEW.8	src/substrate/views	view materialization, provenance, staleness and boundary contracts	yai-core	projection	mine_concept	none	complete	Extract controlled read-model posture only; do not recreate old views root. old_symbol_or_file=substrate_view_*; substrate_views_boundary.c; future_primitive=projection_request; projection_result; provenance counts; freshness; compat_required=yes
NEW.8	src/case/surface	case surface and runtime-facing projection shape	yai-core + console	projection; console	split	console	complete	Core absorbs projection shape; interactive surface belongs to console later. old_symbol_or_file=case_surface*; case_runtime_projection.c; future_primitive=projection result shape; future operator surface; compat_required=yes
NEW.8	src/decision/projection	control-facing projection concepts	yai-core	projection; control_projection	mine_concept	none	complete	Keep as derived projection over decisions, not decision-owned truth. old_symbol_or_file=decision projection material; future_primitive=control summary projection posture; compat_required=yes
NEW.8	src/decision/explanation	explanation traces and audit readability	yai-core	projection; audit_projection	mine_concept	none	complete	Explanation concepts inform audit projection, not a separate explanation engine. old_symbol_or_file=decision explanation material; future_primitive=audit_packet posture; trace summary; compat_required=yes
NEW.8	src/models/frame	model audience and context framing	yai-core + ai-environment	projection; model_projection	mine_concept	ai-environment	complete	Model projection is a controlled read model; model runtime remains outside core. old_symbol_or_file=model frame material; future_primitive=model_context projection kind; compat_required=yes
NEW.8	src/agents/grounding	agent context packing and live grounding lifecycle	ai-environment	agent-projection-experiments	externalize	ai-environment	complete	Do not port context pack; future ai-environment can consume yai-core projections. old_symbol_or_file=context_pack.c; live_context.c; future_primitive=agent context experiments; compat_required=no
NEW.9	src/substrate/query	read posture, records query surface, consistency and safety contracts	yai-core	index/query	absorb	none	complete	Extract read boundary semantics only; do not port old query engine or surfaces. old_symbol_or_file=substrate_query_boundary.c; substrate_records_query_surface.c; substrate_query_*; future_primitive=query_filter; query_result; journal scan; compat_required=yes
NEW.9	src/substrate/indexes	index lifecycle, freshness and retrieval families	yai-core	index	mine_concept	none	complete	No index file, vector retrieval or hybrid ranking in NEW.9. old_symbol_or_file=substrate_*index*; substrate_*retrieval*; future_primitive=future structured/lexical/semantic index evidence; compat_required=yes
NEW.9	src/substrate/store	store backend boundary and registry evidence	yai-core	store	mine_concept	none	complete	Keep file journal as current store; do not port DuckDB, LMDB or graph store backend. old_symbol_or_file=substrate_store_*; future_primitive=future store backend posture; compat_required=yes
NEW.9	src/substrate/records	record taxonomy, lifecycle and relationship evidence	yai-core	store	mine_concept	none	complete	Record envelope remains yai.store.record.v0; no old record root recreated. old_symbol_or_file=substrate_record_*; substrate_records_boundary.c; future_primitive=record taxonomy evidence; compat_required=yes
NEW.9	src/substrate/views	query/projection relation and retrieval projection evidence	yai-core	projection; index/query	mine_concept	none	complete	Query can feed projection counts; views are not ported. old_symbol_or_file=substrate_view_query_contract.c; substrate_retrieval_projection_drain.c; future_primitive=query result projection evidence; compat_required=yes
NEW.9	src/analytics/features	feature extraction and ranking evidence	yai-core + ai-environment	index; ai-environment	mine_concept	ai-environment	complete	Do not add feature store; useful ranking experiments stay deferred. old_symbol_or_file=feature_contract.h; graph_feature_contract.h; duckdb_feature_contract.h; future_primitive=future feature/index experiments; compat_required=yes
NEW.9	src/agents/grounding	agent query and retrieval strategy placeholders	ai-environment	query-experiments; retrieval-experiments	externalize	ai-environment	complete	Agent retrieval strategy stays outside core and can consume future query/projection APIs. old_symbol_or_file=query_strategy.c; retrieval_strategy.c; future_primitive=agent query experiments; compat_required=no
NEW.10	src/substrate/store	store/backend persistence posture, backend classes and count/tail evidence	yai-core	store	mine_concept	none	complete	Use store boundary concepts only; do not port DuckDB, LMDB, filesystem or graph backend code. old_symbol_or_file=substrate_store_*; future_primitive=Rust engine backend mirror; compat_required=yes
NEW.10	src/substrate/query	query/read posture and safety/consistency evidence	yai-core	index/query	mine_concept	none	complete	Rust R1 supports simple counts/queries only; no old query surface port. old_symbol_or_file=substrate_query_*; future_primitive=Rust engine query by kind/case evidence; compat_required=yes
NEW.10	src/substrate/indexes	index freshness, lifecycle and retrieval taxonomy	yai-core	index	mine_concept	none	complete	No vector, semantic, hybrid or embedding index implementation in R1. old_symbol_or_file=substrate_*index*; substrate_*retrieval*; future_primitive=future Rust index mechanics; compat_required=yes
NEW.10	src/substrate/views	view projection, freshness, confidence and read-source refs	yai-core	projection	mine_concept	none	complete	Rust emits summary JSON only; no view materialization cache. old_symbol_or_file=substrate_view_*; future_primitive=Rust projection summary JSON; compat_required=yes
NEW.10	src/substrate/records	record taxonomy, lifecycle and relationship contracts	yai-core	store	mine_concept	none	complete	Rust consumes yai.store.record.v0; old record root remains unported. old_symbol_or_file=substrate_record_*; future_primitive=record JSONL consumption; compat_required=yes
NEW.10	src/substrate/memory	memory lifecycle, privacy, consolidation and recall evidence	yai-core	memory	mine_concept	none	complete	R1 only counts memory_candidate residue; no consolidation, decay or recall. old_symbol_or_file=substrate_memory_*; future_primitive=future Rust memory mechanics; compat_required=yes
NEW.10	vendor/cjson	legacy C JSON codec dependency	yai-core	store/codec	compat_only	none	complete	Do not copy cJSON; Rust/C record codecs stay minimal and schema-specific. old_symbol_or_file=cJSON.c; cJSON.h; future_primitive=compatibility codec evidence; compat_required=yes
NEW.10	include/yai/substrate	old substrate public compatibility headers	yai-core	store; index; graph; memory; projection	compat_only	none	complete	Do not recreate include/yai/substrate in yai-core; route concepts to new primitive headers. old_symbol_or_file=substrate_store.h; substrate_view.h; future_primitive=compatibility map; compat_required=yes
NEW.11	src/runtime/activation	daemon entry, preboot and startup posture	yai-core	daemon	mine_concept	none	complete	Extract resident process posture only; do not port old runtime activation tree. old_symbol_or_file=daemon_entry.c; runtime_preboot.c; startup_plan.c; future_primitive=yaid local IPC process; compat_required=yes
NEW.11	src/runtime/lifecycle	service lifecycle, readiness and sealed posture	yai-core	daemon	mine_concept	none	complete	Keep status/readiness concepts; no service manager or operational unseal. old_symbol_or_file=runtime_service.c; runtime_control.c; runtime_controller.c; future_primitive=daemon status/info response; compat_required=yes
NEW.11	src/runtime/machine	runtime machine and loop evidence	yai-core	daemon	mine_concept	none	complete	No runtime loop or carrier loop in NEW.11. old_symbol_or_file=runtime_machine.c; runtime_loop.c; runtime_tick.c; live_runtime.c; future_primitive=future daemon loop evidence; compat_required=yes
NEW.11	src/runtime/connections	client connection boundary	yai-core	daemon/ipc	mine_concept	none	complete	Local IPC only; no client auth/session model yet. old_symbol_or_file=client_connection.c; README.md; future_primitive=local client socket boundary; compat_required=yes
NEW.11	src/runtime/boundary/transport	local IPC frames, readiness, normalization and security posture	yai-core + interfaces	daemon; interfaces	split	interfaces	complete	Core absorbs minimal Unix socket; transport schemas/security can move to interfaces later. old_symbol_or_file=local_ipc_rpc*; transport_*; future_primitive=local IPC status/info/shutdown; compat_required=yes
NEW.11	tools/runtime	runtime operations and inspection tooling	yai-core	daemon/tooling	mine_concept	none	complete	No tooling port; keep as future operational evidence. old_symbol_or_file=runtime tooling scripts; future_primitive=future daemon tooling evidence; compat_required=no
NEW.11	Documentation/manuals	runtime service operations doctrine	yai-core	daemon docs	mine_concept	none	complete	Extract fail-closed/readiness doctrine only. old_symbol_or_file=runtime-service-operations.md; future_primitive=daemon readiness and fail-closed posture; compat_required=yes
NEW.12	src/runtime/activation	daemon activation and startup sequence evidence	yai-core	daemon	mine_concept	none	complete	Reused as concept evidence only; no old activation tree ported. old_symbol_or_file=daemon_entry.c; runtime_preboot.c; startup_plan.c; future_primitive=daemon-backed loop startup posture; compat_required=yes
NEW.12	src/runtime/lifecycle	resident service lifecycle and control evidence	yai-core	daemon	mine_concept	none	complete	Daemon remains foreground/local; no service manager integration. old_symbol_or_file=runtime_service.c; runtime_control.c; runtime_controller.c; future_primitive=daemon request lifecycle; compat_required=yes
NEW.12	src/runtime/machine	runtime loop and machine posture	yai-core	daemon	mine_concept	none	complete	NEW.12 serves bounded request loops only; no old runtime machine port. old_symbol_or_file=runtime_machine.c; runtime_loop.c; runtime_tick.c; live_runtime.c; future_primitive=future resident loop evidence; compat_required=yes
NEW.12	src/runtime/connections	client request/response connection boundary	yai-core	daemon/ipc	mine_concept	none	complete	Local Unix socket remains the only transport. old_symbol_or_file=client_connection.c; README.md; future_primitive=local request envelope; compat_required=yes
NEW.12	src/runtime/execution	runtime request envelope	yai-core	daemon/ipc	mine_concept	none	complete	Extract request id/kind/payload concept only. old_symbol_or_file=request_envelope.c; future_primitive=daemon request envelope v0; compat_required=yes
NEW.12	src/runtime/execution	envelope validation and fail-closed posture	yai-core	daemon/ipc	mine_concept	none	complete	No old validator port; unsupported requests fail closed. old_symbol_or_file=runtime_envelope_validation.c; future_primitive=request parser validation; compat_required=yes
NEW.12	src/runtime/execution	control bridge between request and decision/effect	yai-core	control; effect	mine_concept	none	complete	Bridge maps to existing C primitives and journal records. old_symbol_or_file=runtime_control_bridge.c; future_primitive=daemon core loop bridge; compat_required=yes
NEW.12	src/runtime/execution	enforcement boundary around controlled actions	yai-core	control; effect	mine_concept	none	complete	No generalized enforcement engine; bounded filesystem loop only. old_symbol_or_file=runtime_control_enforcement.c; future_primitive=filesystem loop review/block posture; compat_required=yes
NEW.12	src/runtime/execution	operational receipt fields and response posture	yai-core	effect/receipt	mine_concept	none	complete	Receipt status is reported from persisted residue. old_symbol_or_file=operational_receipt.c; future_primitive=daemon response receipt status; compat_required=yes
NEW.12	src/runtime/decision	runtime decision context and receipt relation	yai-core	control	mine_concept	none	complete	Decision remains C control residue, not daemon-owned truth. old_symbol_or_file=decision_context.c; decision_record.c; decision_receipt.c; future_primitive=decision_outcome response field; compat_required=yes
NEW.12	src/runtime/observation	observation and watch posture	yai-core	ingest; subject; effect	mine_concept	none	complete	Observation maps to receipt/projection evidence only. old_symbol_or_file=runtime_probe.c; runtime_watch_plan.c; future_primitive=filesystem observed read posture; compat_required=yes
NEW.12	src/case/surface	case surface command and runtime projection shape	yai-core + console	projection; console	split	console	complete	Core keeps structured response; operator surface belongs to console. old_symbol_or_file=case_surface*; case_runtime_projection.c; future_primitive=daemon response and future console surface; compat_required=yes
NEW.12	src/case/identity	case identity material	yai-core	case	mine_concept	none	complete	Only case refs enter request envelope. old_symbol_or_file=case_identity*; future_primitive=case_ref in daemon request; compat_required=yes
NEW.12	src/case/subjects	subject binding semantics	yai-core	subject	mine_concept	none	complete	Subject binding remains case-scoped C residue. old_symbol_or_file=case_subject*; future_primitive=subject_ref in daemon loop; compat_required=yes
NEW.12	src/case/policy	case policy posture	yai-core	control	mine_concept	none	complete	No real policy language added. old_symbol_or_file=case_policy*; future_primitive=control decision posture; compat_required=yes
NEW.12	src/case/decision	case-scoped decision posture	yai-core	control	mine_concept	none	complete	Decision context maps to existing decision records. old_symbol_or_file=case_decision*; future_primitive=daemon decision summary; compat_required=yes
NEW.12	src/substrate/records	record append and taxonomy evidence	yai-core	store	mine_concept	none	complete	Journal remains JSONL record truth path. old_symbol_or_file=substrate_record_*; substrate_records_boundary.c; future_primitive=daemon journal append semantics; compat_required=yes
NEW.12	src/substrate/views	read model and projection posture	yai-core	projection	mine_concept	none	complete	Projection remains derived read model, not source of truth. old_symbol_or_file=substrate_view_*; future_primitive=daemon projection summary; compat_required=yes
NEW.12	src/substrate/query	query/read posture	yai-core	index/query	mine_concept	none	complete	Summary scans journal residue; no database or index file. old_symbol_or_file=substrate_query_*; future_primitive=daemon journal summary command; compat_required=yes
SPINE.20	../yai/packaging	install layout, semantic path roles and package adapter posture	yai-core	packaging	mine_concept	none	complete	Extract PREFIX/bin and local host layout concepts only after filesystem/data-spine refoundation; no distro, service or package signing port. old_symbol_or_file=install-layout.md; install-layout.v1.json; packaging README files; future_primitive=local install layout; compat_required=yes
SPINE.20	../yai/tools/runtime	runtime tooling and inspection posture	yai-core	daemon/tooling	mine_concept	none	complete	Keep tooling as concept evidence; local install targets are implemented in SPINE.20. old_symbol_or_file=yai-env.sh; boot scripts; inspect scripts; future_primitive=local doctor/install evidence; compat_required=no
SPINE.20	../yai/Documentation/manuals	runtime service operation posture	yai-core	daemon docs	mine_concept	none	complete	No service manager install; local foreground daemon remains the only runtime posture. old_symbol_or_file=runtime-service-operations.md; future_primitive=local daemon command docs; compat_required=yes
SPINE.20	../yai/Documentation/product	local-first distribution and authorization posture	yai-core	product/packaging	mine_concept	none	complete	Extract local-first packaging posture without commercial authorization implementation. old_symbol_or_file=distribution.md; future_primitive=local-first install doctrine; compat_required=yes
SPINE.20	../yai/Documentation/reference/repository	repository ownership and install boundary evidence	yai-core	engineering	mine_concept	none	complete	Supports yai-core owning local command, not old roots. old_symbol_or_file=repository-map.md; repository-rules.md; future_primitive=install/check boundary; compat_required=yes
SPINE.20	../console/Documentation/commands	operator command UX and routing posture	console	commands	externalize	console	complete	Console owns product/operator UX; yai-core owns technical yai command only. old_symbol_or_file=command-surface.md; command-routing.md; command-registry.md; future_primitive=operator UX command surface; compat_required=no
SPINE.20	../console/Documentation/runtime-attachment	runtime attachment UX posture	console	runtime-attachment	externalize	console	complete	Console may attach to runtime later but must not own core truth or daemon semantics. old_symbol_or_file=client-runtime-attachment.md; runtime-readiness.md; future_primitive=operator runtime attachment UX; compat_required=no
NEW.13	../yai/src/substrate/store	store backend taxonomy, backend registry and persistence posture	yai-core	engine; system	mine_concept	none	complete	Route durable persistence to engine/store; keep only C bridge concepts in system/engine_bridge. old_symbol_or_file=substrate_store_boundary.c; substrate_store_backend_contract.c; substrate_filesystem_store_boundary.c; substrate_duckdb_store_boundary.c; substrate_lmdb_store_boundary.c; future_primitive=store; engine_bridge; compat_required=yes
NEW.13	../yai/src/substrate/records	record taxonomy, lifecycle and relationship contracts	yai-core	engine	mine_concept	none	complete	Route record mechanics to engine/record and residue refs; do not recreate substrate/records. old_symbol_or_file=substrate_records_boundary.c; substrate_record_taxonomy_contract.c; substrate_record_lifecycle_contract.c; substrate_runtime_subject_record_boundary.c; future_primitive=record; residue; codec; compat_required=yes
NEW.13	../yai/src/substrate/graph	graph relationship, edge taxonomy and reconstruction contracts	yai-core	engine	mine_concept	none	complete	Route graph mechanics to engine/graph; old lineage/topology drains remain evidence only. old_symbol_or_file=substrate_graph_boundary.c; substrate_graph_reconstruction_contract.c; substrate_graph_edge_taxonomy_contract.c; future_primitive=graph; compat_required=yes
NEW.13	../yai/src/substrate/indexes	index taxonomy, freshness and retrieval posture	yai-core	engine	mine_concept	none	complete	Route operational indexes to engine/index; no vector/RAG implementation in filesystem refactor. old_symbol_or_file=substrate_indexes_boundary.c; substrate_lexical_index_boundary.c; substrate_structured_retrieval_boundary.c; substrate_vector_index_boundary.c; future_primitive=index; compat_required=yes
NEW.13	../yai/src/substrate/query	query boundary, safety and consistency posture	yai-core	engine	mine_concept	none	complete	Route operational access to engine/query; query surfaces do not become UI or API truth. old_symbol_or_file=substrate_query_boundary.c; substrate_records_query_surface.c; substrate_query_safety_contract.c; substrate_query_consistency_contract.c; future_primitive=query; compat_required=yes
NEW.13	../yai/src/substrate/memory	memory lifecycle, privacy, consolidation and recall posture	yai-core	engine	mine_concept	none	complete	Route operational memory to engine/memory; agent-style memory experiments stay outside core. old_symbol_or_file=substrate_memory_boundary.c; substrate_memory_lifecycle_contract.c; substrate_memory_privacy_scope_contract.c; substrate_memory_consolidation_drain.c; future_primitive=memory; compat_required=yes
NEW.13	../yai/src/substrate/views	view materialization, provenance and freshness posture	yai-core	engine	mine_concept	none	complete	Route controlled read models to engine/projection; no old views root or UI state. old_symbol_or_file=substrate_views_boundary.c; substrate_view_materialization_contract.c; substrate_view_provenance_contract.c; substrate_view_refresh_contract.c; future_primitive=projection; compat_required=yes
NEW.13	../yai/src/substrate/signals	contradiction, missingness, reliability and signal lifecycle posture	yai-core	engine	mine_concept	none	complete	Route signals to reconcile/memory evidence; signals do not own truth or recovery execution. old_symbol_or_file=substrate_signals_boundary.c; substrate_contradiction_signal_drain.c; substrate_missingness_signal_drain.c; substrate_signal_reliability_contract.c; future_primitive=reconcile; memory; compat_required=yes
NEW.13	../yai/src/runtime/execution	execution envelope, control bridge, enforcement and receipt posture	yai-core	system	mine_concept	none	complete	Route execution concepts to system/control, system/effect and system/daemon; no runtime root port. old_symbol_or_file=request_envelope.c; runtime_control_bridge.c; runtime_control_enforcement.c; operational_receipt.c; runtime_enforcement_engine.c; future_primitive=control; effect; daemon; compat_required=yes
NEW.13	../yai/src/runtime/carriers	carrier loop, host-mediated carrier and native carrier posture	yai-core	system	mine_concept	none	complete	Route carrier concepts to system/effect/carriers; no generic old carrier loop port. old_symbol_or_file=carrier_loop.c; host_mediated_carrier.c; native_carrier.c; future_primitive=effect/carriers; compat_required=yes
NEW.13	../yai/src/runtime/machine	runtime machine, loop and tick posture	yai-core	system	mine_concept	none	complete	Route resident loop evidence to system/daemon; bounded daemon loops remain explicit. old_symbol_or_file=runtime_machine.c; runtime_loop.c; runtime_tick.c; live_runtime.c; future_primitive=daemon; compat_required=yes
NEW.13	../yai/src/runtime/lifecycle	service lifecycle, control and readiness posture	yai-core	system	mine_concept	none	complete	Route lifecycle concepts to system/daemon; no service manager install in refactor. old_symbol_or_file=runtime_service.c; runtime_control.c; runtime_controller.c; future_primitive=daemon; compat_required=yes
NEW.13	../yai/src/case/subjects	case-bound subject binding, classification and evidence trace	yai-core	system; engine	mine_concept	none	complete	Route subject ABI to system/subject and residue refs to engine/residue. old_symbol_or_file=case_subject_boundary.c; case_subject_binding_contract.c; case_subject_evidence_trace_contract.c; case_subject_permissions_contract.c; future_primitive=subject; residue_refs; compat_required=yes
NEW.13	../yai/src/case/materialization	case materialization, trace and source intake posture	yai-core	system; engine	mine_concept	none	complete	Route case materialization shell to system/case and persisted residue to engine. old_symbol_or_file=case_materialization_boundary.c; case_materialization_trace_contract.c; case_materialization_*_drain.c; future_primitive=case; residue; compat_required=yes
NEW.13	../yai/src/case/surface	case surface, runtime projection and operator-facing surface posture	yai-core + console	engine; console	split	console	complete	Core absorbs projection evidence only; operator UX belongs to console future. old_symbol_or_file=case_surface*.c; case_runtime_projection.c; case_surface_projection_contract.c; future_primitive=projection; operator_surface; compat_required=yes
NEW.13	../yai/src/lineage	lineage, decision traces, graph projections and memory summaries	yai-core	engine	mine_concept	none	complete	Route causality to engine/graph and graph-derived memory; do not recreate lineage root. old_symbol_or_file=decision/*; projection/*; episodic_summary.c; semantic_summary.c; future_primitive=graph; memory; projection; compat_required=yes
NEW.13	../yai/src/analytics	features, signals, analytics consumption and model evidence	yai-core + ai-environment	engine; ai-environment	split	ai-environment	complete	Route operational signals/features to engine evidence; externalize analytics/model experiments to ai-environment. old_symbol_or_file=features/*; signals/*; consumption/*; models/*; substrate/analytics_substrate.c; future_primitive=index; memory; reconcile; experiments; compat_required=yes
NEW.15	../yai/src/runtime/operator	operator shell, queue view, smoke and conversation runtime posture	yai-core + console	cmd/yai; console	split	console	complete	Core keeps only technical command diagnostics; operator shell and conversation UX belong to console. old_symbol_or_file=carrier_smoke.c; substrate_smoke.c; shell.c; queue_view.c; operator_context.c; conversation_*.c; future_primitive=technical diagnostics; operator UX; compat_required=no
NEW.15	../yai/tools/runtime	runtime boot, environment, inspect, intake and embedded tooling	yai-core	cmd/yai; daemon/tooling	mine_concept	none	complete	Mine command and daemon tooling concepts only; no script port or install layout implementation in NEW.15. old_symbol_or_file=boot/*; env/*; inspect/*; intake/*; embedded/*; rootfs/*; future_primitive=doctor; runtime inspect; daemon tooling; compat_required=no
Operator manual belongs to console/product UX; yai-core command remains technical.	../yai/Documentation/manuals/operator-manual.md	console	operator-manual	operator UX guidance	no	none	complete	old_symbol_or_file=operator operating posture and documentation boundaries; future_primitive=externalize; compat_required=NEW.15
Use as daemon documentation evidence; no service manager or runtime root port.	../yai/Documentation/manuals/runtime-service-operations.md	yai-core	daemon docs	daemon operation concepts	yes	none	complete	old_symbol_or_file=runtime access, admission, execution, receipts and service posture; future_primitive=mine_concept; compat_required=NEW.15
NEW.15	../yai/Documentation/reference/terminology	operator/product terminology	yai-core + console	cmd/yai; console	split	console	complete	Keep technical command terms in yai-core; externalize product/operator terms to console. old_symbol_or_file=action-terminology.md; product-taxonomy.md; future_primitive=technical command terms; product UX terms; compat_required=no
NEW.15	../console/Documentation/commands	console command UX and routing posture	console	commands	externalize	console	complete	Console owns command UX; cmd/yai must not absorb slash commands or product command routing. old_symbol_or_file=command-surface.md; command-routing.md; command-registry.md; help-model.md; output-model.md; slash-command-model.md; future_primitive=operator command surface; compat_required=no
NEW.15	../console/Documentation/runtime-attachment	console runtime attachment and readiness UX	console + interfaces	runtime-attachment; interfaces	externalize	interfaces	complete	Console/interfaces may consume runtime truth later; yai-core keeps daemon command truth. old_symbol_or_file=client-runtime-attachment.md; runtime-readiness.md; configuration.md; sdk-api-consumption.md; future_primitive=operator runtime attachment UX; compat_required=no
NEW.15	../console/src/commands	console command implementations	console	commands	externalize	console	complete	Do not copy console source; command implementation remains outside yai-core. old_symbol_or_file=agent.rs; auth.rs; case.rs; control.rs; doctor.rs; runtime.rs; records.rs; slash.rs; supervisor.rs; future_primitive=operator command implementation; compat_required=no
NEW.16	../yai/src/runtime/activation	boot, mode selection, preboot and startup posture	yai-core	system/daemon	mine_concept	none	complete	Route activation concepts to system/daemon; do not port old runtime activation source. old_symbol_or_file=boot_descriptor.c; daemon_entry.c; mode_descriptor.c; mode_entry_contract.c; mode_select.c; runtime_preboot.c; startup_plan.c; future_primitive=daemon activation evidence; compat_required=yes
NEW.16	../yai/src/runtime/lifecycle	service lifecycle, controller, readiness and fail-closed posture	yai-core	system/daemon	mine_concept	none	complete	Route lifecycle concepts to system/daemon; no service manager or install layout in NEW.16. old_symbol_or_file=runtime_control.c; runtime_controller.c; runtime_entry.c; runtime_service.c; future_primitive=daemon lifecycle evidence; compat_required=yes
